index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
21,笠寺,"13,452","3,799","1,943",51.15,323,"2,402","1,022","6,451","1,794",772,43,43,"836,167",275,36,692,5.47,6.81,12.52,13.72,12.12,12.73,17.85,11.88,6.91,46.51,34.88,"4,345"
22,熱田,"5,594","4,843","2,379",49.12,511,"3,289",989,"8,254","2,217",876,40,97,"1,312,843",439,51,463,6.73,8.54,12.3,13.41,14.69,14.92,14.62,9.15,5.64,72.16,23.71,"6,288"
23,金山,"112,000","8,448","4,176",49.43,648,"5,626","1,691","21,896","4,944","2,987",60,139,"2,037,688","1,183",120,"2,551",5.7,5.44,15.68,16.47,14.53,13.07,13.91,10.18,5.02,59.71,36.69,"17,092"
24,尾頭橋,"5,944","8,069","3,962",49.1,733,"5,253","1,839","9,219","4,107","2,084",51,87,"1,129,760",590,66,583,6.54,6.21,13.04,15.82,13.1,12.91,15.59,10.58,6.21,50.57,43.68,"6,243"
25,名古屋,"397,008","3,134","1,607",51.28,163,"2,038",721,"72,855","1,935","1,307",68,438,"25,358,093","3,042",331,"3,557",3.77,7.84,17.32,14.79,11.81,11.09,15.54,10.72,7.12,63.47,34.47,"68,525"
26,枇杷島,"6,364","4,079","2,042",50.06,660,"2,685",709,"4,931","1,644",489,30,31,"424,890",145,17,651,11.91,8.56,11.81,20.42,12.55,10.8,11.81,8.24,3.9,45.16,45.16,"2,982"
27,清洲,"7,396","3,112","1,552",49.87,497,"2,072",536,"1,670","1,168",279,24,7,"125,172",72,4,0,10.33,10.5,10.98,17.97,15.23,10.75,12.69,8.11,3.44,71.43,28.57,636
28,稲沢,"13,726","4,703","2,318",49.29,735,"3,124",844,"3,516","1,845",534,29,43,"202,247",178,26,23,11.74,7.93,11.29,20.46,14.08,10.17,10.89,7.93,5.51,46.51,39.53,"2,133"
29,尾張一宮,"52,510","6,179","2,920",47.26,705,"3,926","1,475","9,525","2,829","1,135",40,209,"2,273,656",872,84,411,7.76,7.35,9.71,16.21,14.74,12.56,14.15,10.96,6.55,67.46,30.62,"7,211"
30,木曽川,"7,416","4,553","2,186",48.01,617,"2,914",999,"2,732","1,670",363,22,41,"160,452",184,13,193,9.09,9.29,10.08,15.86,13.9,11.87,14.5,10.15,5.25,58.54,34.15,962
